Surah 44:1, Ha-Mim.,HEU MIM.
Surah 44:38   ,   We created not the heavens the earth and all between them merely in (idle) sport:,Yi ma jin sanmazhi to kin to yan nanzhi fi tsakaniabo nan ebo edzo boa.
Surah 44:39    ,   We created them not except for just ends: but most of them do not understand.,Yi jin'a jin'a sai de ebo Yi tso gaskiya amma'de ekun dondo zawangizhi a kpea.
Surah 44:40   , Verily the Day of sorting out is the time appointed for all of them-,Akika efo hukunci ba uga yi lokacia baeni bo.
Surah 44:41     ,    The Day when no protector can avail his client in aught and no help can they receive,Efo nan eya wun'a kunke be yandondoe ya eya wun'a nan ama'a jin dozhi taimako woa.
Surah 44:42      , Except such as receive Allah´s Mercy: for He is Exalted in Might Most Merciful.,sai de zana Sokoa gun yeu nan akika Etsu zankpe uyio Etsu yegun uyio.
Surah 44:43,  Verily the tree of Zaqqum,Akika cigban yan zakkumu.
Surah 44:44 ,Will be the food of the Sinful-,Yangici lefi jincizhi uyio.
Surah 44:45 ,  Like molten brass; it will boil in their insides.,Uyi ke yankpa zunzunci nan wun'a fe gbin fe sa fi gbakozhio.Surah 44:46 Like the boiling of scalding water.Ke si sa yan nuwan yipa nan.
Surah 44:47 ,   (A voice will cry: "Seize ye him and drag him into the midst of the Blazing Fire!,Yea egwa sun'u kpantsukuy ye mae gba'u yecie la wun'e ce dan tacin enan yan jahimuo.
Surah 44:48,      "Then pour over his head the Penalty of Boiling Water,Gancin ye cie da nuwan yipa yan azaba gwae be kpea etiazhio.Surah 44:49    "Taste thou (this)! Truly wast thou mighty full of honour!Fe fin azaba ngan wyo gan wyo ga yi za wanciko naa zankpe nao
Surah 44:50  ,   "Truly this is what ye used to doubt!",Nan nan ga yi yan nan ye fe jin kelo kezhin be yin nao.
Surah 44:51   , As to the Righteous (they will be) in a position of Security,Akika Muminizhi a fi mini emi yan amincio.
Surah 44:52 , Among Gardens and Springs;,Mini Aljannazhio nan zhiy nuwanzhie je fi ta'koabo nan.
Surah 44:53  ,  Dressed in fine silk and in rich brocade they will face each other;,Aci ga ewo yan silikizhi fan acia fe ban nan aciga fe dun a eye zhe wu dozhi.
Surah 44:54  , So; and We shall join them to fair women with beautiful big and lustrous eyes.,Acinga gao Yici jin yawozhi yaa be ynzagi Aljannazhiy nanzhi eye kosun'azhie bannan nan.
Surah 44:55    ,There can they call for every kind of fruit in peace and security;,Acia fe wa gigi yan yangici mari-marizhi a ma' fi bo be aminciy.
Surah 44:56   ,      Nor will they there taste Death except the first death; and He will preserve them from the Penalty of the Blazing Fire,-A'kara le tsu tsu ye bea baci yan mafari boa. Soko ma gaa tswa be azaba yan enan jahimuy.
Surah 44:57 ,     As a Bounty from thy Lord! that will be the supreme achievement!,Nan nan daraja uyio dagan eba Tsoci wyo bo wuncin ga ma yi rabo nan wancin nao.
Surah 44:58    ,Verily We have made this (Qur´an) easy in thy tongue in order that they may give heed.,Akika yi ga (Alkuranu) fan be gintara wyo yin ebo adeba a la san'a tu.
Surah 44:59  ,So wait thou and watch; for they (too) are waiting.,Fe tu hallaka'ye akika (kafirizhio tso) a dan yetu yan hallaka wyo bo
